MAC,Timestamp,Latitude,Longitude,HorizontalAccuracy,Altitude,VerticalAccuracy,Speed,Course,Confidence
c4:3d:c7:aa:bd:88,363015762.683134,38.88023936,-77.11617761,44.0,103.0,23.0,-1.0,-1.0,50
0:1f:90:b6:a5:68,363015762.683134,38.88028335,-77.11622935,42.0,103.0,19.0,-1.0,-1.0,50
0:24:6c:67:e1:c0,363015762.683134,38.88108694,-77.11610305,42.0,112.0,24.0,-1.0,-1.0,50
0:f:bb:b:7c:1a,363015762.683134,38.8812403,-77.11568582,55.0,118.0,31.0,-1.0,-1.0,50
0:1d:cf:9f:9f:b0,363015762.683134,38.88024079,-77.116198,42.0,103.0,18.0,-1.0,-1.0,50
c0:62:6b:85:7:30,363015762.683134,38.88122302,-77.11579716,44.0,134.0,43.0,-1.0,-1.0,50
58:35:d9:77:4a:10,363015762.683134,38.88123518,-77.11540895,156.0,134.0,45.0,-1.0,-1.0,50
0:26:b8:ad:c3:cd,363015762.683134,38.88016343,-77.11611849,42.0,102.0,20.0,-1.0,-1.0,50
44:e4:d9:3e:88:f4,363015762.683134,38.88126015,-77.11558341,42.0,116.0,34.0,-1.0,-1.0,50
f0:1c:13:16:b3:e0,363015762.683134,38.88115972,-77.11602598,148.0,103.0,31.0,-1.0,-1.0,50
44:e4:d9:3e:88:f3,363015762.683134,38.88127356,-77.11561423,42.0,116.0,27.0,-1.0,-1.0,50
44:e4:d9:3e:88:f0,363015762.683134,38.88127654,-77.11561369,42.0,115.0,31.0,-1.0,-1.0,50
0:f:bb:9:74:b8,363015762.683134,38.88106375,-77.11620146,42.0,110.0,20.0,-1.0,-1.0,50
40:f4:ec:db:f0:32,363015762.683134,38.88128787,-77.11562597,42.0,129.0,42.0,-1.0,-1.0,50
c0:62:6b:85:7:33,363015762.683134,38.88123899,-77.11590683,49.0,121.0,34.0,-1.0,-1.0,50
40:f4:ec:db:f0:30,363015762.683134,38.8812955,-77.11563742,42.0,129.0,38.0,-1.0,-1.0,50
0:26:b8:98:f:35,363015762.683134,38.88002645,-77.11595851,42.0,104.0,25.0,-1.0,-1.0,50
40:f4:ec:db:f0:31,363015762.683134,38.8812977,-77.11561965,42.0,132.0,39.0,-1.0,-1.0,50
0:26:b8:ac:1a:b1,363015762.683134,38.87997812,-77.11535805,43.0,102.0,27.0,-1.0,-1.0,50
0:7f:28:13:2a:69,363015762.683134,38.88003242,-77.11598473,42.0,107.0,21.0,-1.0,-1.0,50
40:f4:ec:db:f0:33,363015762.683134,38.88129979,-77.11564385,42.0,131.0,39.0,-1.0,-1.0,50
c0:62:6b:d4:11:52,363015762.683134,38.8813036,-77.11563771,42.0,134.0,44.0,-1.0,-1.0,50
0:1f:90:ec:45:59,363015762.683134,38.88006407,-77.11606764,42.0,98.0,13.0,-1.0,-1.0,50
0:1d:d1:14:98:90,363015762.683134,38.88003063,-77.11600112,42.0,100.0,19.0,-1.0,-1.0,50
58:6d:8f:f8:29:3c,363015762.683134,38.8807792,-77.11643189,62.0,113.0,30.0,-1.0,-1.0,50
0:1c:10:42:fb:d5,363015762.683134,38.88128226,-77.11583083,54.0,117.0,33.0,-1.0,-1.0,50
0:f:bb:9:74:ba,363015762.683134,38.88108009,-77.11624234,42.0,109.0,23.0,-1.0,-1.0,50
0:f:bb:b:7c:18,363015762.683134,38.88131076,-77.11571466,47.0,118.0,29.0,-1.0,-1.0,50
c0:62:6b:85:7:31,363015762.683134,38.88127541,-77.11589521,44.0,127.0,36.0,-1.0,-1.0,50
0:26:62:d8:b0:ff,363015762.683134,38.8800106,-77.11600095,42.0,98.0,17.0,-1.0,-1.0,50
0:26:62:cf:2b:3f,363015762.683134,38.88070785,-77.11647456,42.0,111.0,31.0,-1.0,-1.0,50
0:f:bb:b:5f:4a,363015762.683134,38.88130456,-77.11582785,42.0,135.0,38.0,-1.0,-1.0,50
0:26:b8:ae:e9:5b,363015762.683134,38.8800171,-77.11603093,42.0,104.0,20.0,-1.0,-1.0,50
c0:62:6b:d4:11:53,363015762.683134,38.8813312,-77.11564987,42.0,127.0,38.0,-1.0,-1.0,50
0:26:b8:98:27:bf,363015762.683134,38.88014435,-77.11625033,43.0,102.0,21.0,-1.0,-1.0,50
0:f:bb:9:57:d8,363015762.683134,38.88131529,-77.11589848,151.0,126.0,28.0,-1.0,-1.0,50
c0:62:6b:d4:11:50,363015762.683134,38.88136261,-77.11559283,42.0,128.0,33.0,-1.0,-1.0,50
c0:62:6b:d4:11:51,363015762.683134,38.88137143,-77.11560451,42.0,130.0,37.0,-1.0,-1.0,50
90:21:55:ea:65:c5,363015762.683134,38.88065385,-77.1165378,58.0,102.0,42.0,-1.0,-1.0,50
40:f4:ec:13:ee:0,363015762.683134,38.88136917,-77.11540061,130.0,150.0,14.0,-1.0,-1.0,50
54:75:d0:a5:f:a4,363015762.683134,38.88138753,-77.11561965,47.0,111.0,31.0,-1.0,-1.0,50
0:26:b8:47:4b:d2,363015762.683134,38.88000303,-77.11615747,42.0,99.0,21.0,-1.0,-1.0,50
e0:91:f5:81:50:f4,363015762.683134,38.87993073,-77.11600935,42.0,102.0,20.0,-1.0,-1.0,50
78:d6:f0:ad:8e:4a,363015762.683134,38.87992209,-77.11598998,42.0,94.0,12.0,-1.0,-1.0,50
0:1d:88:24:a9:73,363015762.683134,38.8799321,-77.11601918,42.0,97.0,16.0,-1.0,-1.0,50
0:f:bb:b:61:e8,363015762.683134,38.88111996,-77.11635082,44.0,143.0,28.0,-1.0,-1.0,50
58:6d:8f:ec:b7:14,363015762.683134,38.88075715,-77.11656469,57.0,108.0,31.0,-1.0,-1.0,50
c:85:25:c7:d2:d0,363015762.683134,38.88140857,-77.11551541,42.0,137.0,28.0,-1.0,-1.0,50
0:1d:cf:9f:d5:c0,363015762.683134,38.87988036,-77.11589807,42.0,106.0,27.0,-1.0,-1.0,50
0:26:b8:ad:c3:7c,363015762.683134,38.87991368,-77.11600857,42.0,99.0,16.0,-1.0,-1.0,50
0:1a:2f:91:9a:21,363015762.683134,38.8810423,-77.11644387,57.0,116.0,32.0,-1.0,-1.0,50
c0:62:6b:85:7:32,363015762.683134,38.88141334,-77.11573219,56.0,115.0,22.0,-1.0,-1.0,50
0:f:cb:fc:b5:8f,363015762.683134,38.88141924,-77.11567258,46.0,114.0,29.0,-1.0,-1.0,50
0:1a:2f:91:9a:22,363015762.683134,38.88100624,-77.11648273,50.0,114.0,34.0,-1.0,-1.0,50
0:f:bb:9:7a:fa,363015762.683134,38.88142877,-77.11569446,42.0,117.0,30.0,-1.0,-1.0,50
0:7f:28:bb:6b:8,363015762.683134,38.88126361,-77.11493378,45.0,128.0,22.0,-1.0,-1.0,50
0:1a:2f:91:9a:23,363015762.683134,38.8810631,-77.11645865,50.0,113.0,32.0,-1.0,-1.0,50
40:f4:ec:13:ff:50,363015762.683134,38.88139843,-77.11522829,145.0,143.0,26.0,-1.0,-1.0,50
60:d8:19:1a:f3:7e,363015762.683134,38.88144421,-77.11569488,45.0,118.0,33.0,-1.0,-1.0,50
0:1e:e5:ec:83:42,363015762.683134,38.88127547,-77.11492145,43.0,140.0,28.0,-1.0,-1.0,50
0:1a:2f:91:9a:20,363015762.683134,38.88103908,-77.11650472,51.0,117.0,33.0,-1.0,-1.0,50
0:25:9c:e0:30:d3,363015762.683134,38.88069337,-77.11664456,45.0,106.0,30.0,-1.0,-1.0,50
0:f:bb:b:5f:48,363015762.683134,38.88139551,-77.11600404,42.0,140.0,27.0,-1.0,-1.0,50
40:f4:ec:60:0:30,363015762.683134,38.88134521,-77.11503154,42.0,112.0,5.0,-1.0,-1.0,50
0:f:bb:9:7a:f8,363015762.683134,38.88146346,-77.11571431,42.0,117.0,29.0,-1.0,-1.0,50
0:22:90:b4:c8:51,363015762.683134,38.88145393,-77.11536318,103.0,115.0,22.0,-1.0,-1.0,50
0:26:b8:4e:ab:bf,363015762.683134,38.88066923,-77.11665856,43.0,106.0,33.0,-1.0,-1.0,50
0:14:6c:69:14:53,363015762.683134,38.88133454,-77.11498928,59.0,138.0,38.0,-1.0,-1.0,50
0:3:93:ee:d8:af,363015762.683134,38.88128513,-77.11626589,69.0,115.0,31.0,-1.0,-1.0,50
c0:62:6b:85:2b:22,363015762.683134,38.88147187,-77.11568742,42.0,132.0,31.0,-1.0,-1.0,50
0:1e:e5:82:fd:ff,363015762.683134,38.88072663,-77.11666131,65.0,107.0,27.0,-1.0,-1.0,50
0:25:9c:64:e5:d8,363015762.683134,38.88147807,-77.11551386,66.0,123.0,21.0,-1.0,-1.0,50
0:26:b8:ad:bd:70,363015762.683134,38.87988853,-77.11613243,47.0,104.0,24.0,-1.0,-1.0,50
0:f:bb:b:61:ea,363015762.683134,38.88106334,-77.11652851,63.0,116.0,40.0,-1.0,-1.0,50
0:7f:28:6:64:4,363015762.683134,38.87976896,-77.11543816,42.0,102.0,18.0,-1.0,-1.0,50
b0:d0:9c:de:96:95,363015762.683134,38.88094395,-77.11661255,88.0,104.0,30.0,-1.0,-1.0,50
0:2:6f:a0:f3:e4,363015762.683134,38.88148736,-77.11573612,43.0,114.0,28.0,-1.0,-1.0,50
0:25:84:9:81:ea,363015762.683134,38.88149154,-77.11573684,44.0,121.0,34.0,-1.0,-1.0,50
0:23:97:7c:f9:45,363015762.683134,38.88059037,-77.11671018,67.0,106.0,30.0,-1.0,-1.0,50
0:7f:28:21:11:81,363015762.683134,38.87993246,-77.1162846,58.0,103.0,20.0,-1.0,-1.0,50
60:33:4b:e6:7:19,363015762.683134,38.88057029,-77.11671441,42.0,100.0,31.0,-1.0,-1.0,50
0:18:1:f9:bc:19,363015762.683134,38.87982344,-77.11606764,44.0,104.0,25.0,-1.0,-1.0,50
30:46:9a:9e:96:72,363015762.683134,38.87988656,-77.1162219,56.0,100.0,18.0,-1.0,-1.0,50
0:23:ab:be:c1:f0,363015762.683134,38.88151854,-77.11569088,46.0,120.0,34.0,-1.0,-1.0,50
0:1f:90:fa:c5:70,363015762.683134,38.88132834,-77.11486929,45.0,123.0,29.0,-1.0,-1.0,50
5c:d9:98:21:a3:84,363015762.683134,38.88152199,-77.11570668,44.0,115.0,34.0,-1.0,-1.0,50
0:f:cb:fc:81:4f,363015762.683134,38.88152933,-77.1156792,56.0,117.0,35.0,-1.0,-1.0,50
0:24:6c:67:d5:60,363015762.683134,38.88151103,-77.11583673,87.0,52.0,34.0,-1.0,-1.0,50
c0:62:6b:85:2b:21,363015762.683134,38.88148194,-77.11597418,57.0,119.0,23.0,-1.0,-1.0,50
0:f:bb:b:65:ca,363015762.683134,38.88129836,-77.11637377,60.0,126.0,32.0,-1.0,-1.0,50
0:26:62:d8:b4:20,363015762.683134,38.8797456,-77.11526322,43.0,99.0,24.0,-1.0,-1.0,50
0:11:24:d:e4:2f,363015762.683134,38.88140314,-77.1162194,42.0,118.0,14.0,-1.0,-1.0,50
0:26:b8:af:f7:1c,363015762.683134,38.87971162,-77.11543715,42.0,100.0,16.0,-1.0,-1.0,50
c:d5:2:5c:af:8f,363015762.683134,38.88092291,-77.11671066,77.0,113.0,32.0,-1.0,-1.0,50
0:18:39:fb:4f:bc,363015762.683134,38.88063263,-77.11677783,53.0,105.0,30.0,-1.0,-1.0,50
0:22:90:b4:c8:52,363015762.683134,38.88155591,-77.115377,112.0,114.0,31.0,-1.0,-1.0,50
0:7f:28:6:c0:93,363015762.683134,38.87969303,-77.11539524,42.0,97.0,15.0,-1.0,-1.0,50
0:12:cf:30:2e:48,363015762.683134,38.88156855,-77.11573243,42.0,119.0,31.0,-1.0,-1.0,50
4:46:65:9d:a8:12,363198768.106,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0
0:24:6c:67:e7:20,363198768.11061,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0
0:24:6c:67:e7:60,363198767.554628,38.88054466,-77.11439651,42.0,0.0,-1.0,-1.0,-1.0,50
6c:50:4d:3e:a8:40,363198767.554628,38.88053315,-77.11445105,46.0,122.0,5.0,-1.0,-1.0,50
84:db:2f:3:93:c6,363198767.554628,38.88049459,-77.11436617,75.0,114.0,31.0,-1.0,-1.0,50
0:12:d9:3c:c6:b0,363198767.554628,38.88060778,-77.11446964,70.0,93.0,6.0,-1.0,-1.0,50
0:c:e6:46:f0:bb,363198767.554628,38.88046348,-77.11443722,48.0,121.0,30.0,-1.0,-1.0,50
6c:50:4d:7c:70:a0,363198767.554628,38.88053494,-77.11453396,60.0,128.0,35.0,-1.0,-1.0,50
0:1d:7e:34:91:8d,363198767.554628,38.88055533,-77.11455225,42.0,115.0,30.0,-1.0,-1.0,50
6c:50:4d:aa:e:c1,363198767.554628,38.88054358,-77.11457556,46.0,130.0,44.0,-1.0,-1.0,50
6c:50:4d:3e:a9:10,363198767.554628,38.88060528,-77.1145811,45.0,126.0,36.0,-1.0,-1.0,50
6c:50:4d:3e:a9:11,363198767.554628,38.88060909,-77.11457902,49.0,132.0,42.0,-1.0,-1.0,50
6c:50:4d:aa:e:c0,363198767.554628,38.8805418,-77.11460059,45.0,125.0,35.0,-1.0,-1.0,50
0:b:85:8d:94:bf,363198767.554628,38.88041466,-77.1145268,95.0,103.0,35.0,-1.0,-1.0,50
0:c:e6:be:f3:53,363198767.554628,38.88048171,-77.11459684,45.0,115.0,31.0,-1.0,-1.0,50
0:23:69:8a:2a:a6,363198767.554628,38.88067787,-77.11453408,50.0,127.0,26.0,-1.0,-1.0,50
6c:50:4d:3e:9b:f0,363198767.554628,38.88052004,-77.11463904,52.0,121.0,25.0,-1.0,-1.0,50
6c:50:4d:7c:70:a1,363198767.554628,38.88066107,-77.1145963,65.0,125.0,32.0,-1.0,-1.0,50
0:c:e6:8b:9e:c0,363198767.554628,38.88055598,-77.11465734,42.0,117.0,36.0,-1.0,-1.0,50
0:7f:28:b2:eb:f9,363198767.554628,38.88069427,-77.11419808,56.0,128.0,41.0,-1.0,-1.0,50
0:16:46:48:f1:d0,363198767.554628,38.88032549,-77.11437594,58.0,107.0,13.0,-1.0,-1.0,50
6c:50:4d:3e:9b:f1,363198767.554628,38.88060027,-77.11467146,97.0,120.0,25.0,-1.0,-1.0,50
0:1f:90:cd:5c:c,363198767.554628,38.88075077,-77.11428105,52.0,134.0,47.0,-1.0,-1.0,50
0:b:6c:bb:b0:5,363198767.554628,38.88033336,-77.11429077,48.0,112.0,19.0,-1.0,-1.0,50
0:1e:4c:33:b5:20,363198767.554628,38.8807137,-77.11419945,51.0,131.0,47.0,-1.0,-1.0,50
0:c:e6:b0:5a:81,363198767.554628,38.88033252,-77.11451804,42.0,112.0,27.0,-1.0,-1.0,50
64:a0:e7:89:63:a1,363198767.554628,38.88031464,-77.11448001,58.0,93.0,8.0,-1.0,-1.0,50
8:d0:9f:8e:60:41,363198767.554628,38.88060086,-77.11470639,42.0,102.0,17.0,-1.0,-1.0,50
0:c:e6:bf:82:ca,363198767.554628,38.88056254,-77.11471503,51.0,115.0,37.0,-1.0,-1.0,50
8:d0:9f:8e:60:40,363198767.554628,38.88053548,-77.11471986,42.0,114.0,33.0,-1.0,-1.0,50
c8:64:c7:ca:ce:aa,363198767.554628,38.88077878,-77.11454886,42.0,145.0,23.0,-1.0,-1.0,50
0:15:f9:38:de:0,363198767.554628,38.88080507,-77.11447185,49.0,143.0,42.0,-1.0,-1.0,50
0:c:e6:49:cf:6b,363198767.554628,38.88057184,-77.11474466,45.0,120.0,37.0,-1.0,-1.0,50
8:86:3b:85:21:1e,363198767.554628,38.88080191,-77.11421191,88.0,133.0,41.0,-1.0,-1.0,50
0:1d:71:22:90:d0,363198767.554628,38.88064426,-77.11403954,61.0,136.0,54.0,-1.0,-1.0,50
0:c:e6:b1:fd:ad,363198767.554628,38.88056504,-77.11477488,49.0,121.0,38.0,-1.0,-1.0,50
0:21:d8:f2:c5:0,363198767.554628,38.88072228,-77.11470592,54.0,135.0,56.0,-1.0,-1.0,50
6c:50:4d:7c:27:a0,363198767.554628,38.88036853,-77.11472213,74.0,122.0,17.0,-1.0,-1.0,50
0:7f:28:37:dc:be,363198767.554628,38.88076192,-77.11410701,66.0,134.0,39.0,-1.0,-1.0,50
64:a0:e7:89:64:22,363198767.554628,38.88047486,-77.11480224,53.0,142.0,5.0,-1.0,-1.0,50
6c:50:4d:3e:99:80,363198767.554628,38.88065814,-77.11478686,58.0,155.0,31.0,-1.0,-1.0,50
0:1d:71:22:90:d1,363198767.554628,38.88064289,-77.11399877,61.0,142.0,53.0,-1.0,-1.0,50
0:16:46:48:ee:0,363198767.554628,38.88021814,-77.11448222,46.0,100.0,5.0,-1.0,-1.0,50
0:23:6c:bf:9e:4e,363198767.554628,38.88028514,-77.11412191,51.0,113.0,32.0,-1.0,-1.0,50
0:26:62:62:23:f7,363198767.554628,38.88086754,-77.11424463,43.0,159.0,41.0,-1.0,-1.0,50
6c:50:4d:aa:a5:62,363198767.554628,38.88054484,-77.11484551,45.0,119.0,13.0,-1.0,-1.0,50
0:18:1:ed:7c:87,363198767.554628,38.88071095,-77.11480098,47.0,137.0,49.0,-1.0,-1.0,50
0:23:eb:6b:b9:48,363198767.554628,38.88022208,-77.11419779,48.0,107.0,31.0,-1.0,-1.0,50
0:1e:e5:f8:49:d9,363198767.554628,38.88059777,-77.11393988,42.0,126.0,40.0,-1.0,-1.0,50
0:1f:90:c2:a1:4c,363198767.554628,38.88090032,-77.11449098,63.0,139.0,43.0,-1.0,-1.0,50
0:26:62:7b:34:4c,363198767.554628,38.88081765,-77.11406219,67.0,132.0,33.0,-1.0,-1.0,50
1c:aa:7:6e:6e:0,363198767.554628,38.88033521,-77.11399316,42.0,99.0,7.0,-1.0,-1.0,50
0:24:b2:20:6a:2a,363198767.554628,38.88091838,-77.11447721,44.0,156.0,42.0,-1.0,-1.0,50
6c:50:4d:7c:27:a1,363198767.554628,38.88049268,-77.11487746,60.0,142.0,5.0,-1.0,-1.0,50
0:26:b8:13:49:61,363198767.554628,38.88091099,-77.11452656,46.0,158.0,47.0,-1.0,-1.0,50
0:1f:90:dd:4b:54,363198767.554628,38.88090509,-77.11424046,50.0,148.0,45.0,-1.0,-1.0,50
0:26:62:8c:42:98,363198767.554628,38.88084614,-77.11409151,53.0,135.0,39.0,-1.0,-1.0,50
58:6d:8f:7:4:d9,363198767.554628,38.88088095,-77.11415123,45.0,154.0,49.0,-1.0,-1.0,50
0:7f:28:31:4f:26,363198767.554628,38.8807668,-77.11398822,58.0,127.0,34.0,-1.0,-1.0,50
1c:aa:7:6e:6e:50,363198767.554628,38.88064604,-77.11391538,65.0,161.0,51.0,-1.0,-1.0,50
0:18:1:ec:f6:b5,363198767.554628,38.88087236,-77.11411333,53.0,143.0,41.0,-1.0,-1.0,50
0:18:39:7a:aa:91,363198767.554628,38.88088446,-77.11465567,43.0,148.0,45.0,-1.0,-1.0,50
0:18:1:ff:7b:6,363198767.554628,38.880656,-77.11488187,44.0,130.0,41.0,-1.0,-1.0,50
0:1f:90:f2:cb:37,363198767.554628,38.88068181,-77.11487847,50.0,119.0,36.0,-1.0,-1.0,50
0:26:b8:38:b8:cb,363198767.554628,38.88083177,-77.11476153,56.0,126.0,43.0,-1.0,-1.0,50
0:18:fe:d0:43:c1,363198767.554628,38.88066339,-77.11390125,42.0,129.0,44.0,-1.0,-1.0,50
0:26:b8:3f:9e:f,363198767.554628,38.88091069,-77.11462509,71.0,153.0,59.0,-1.0,-1.0,50
0:26:f3:f9:35:98,363198767.554628,38.8808856,-77.11468684,48.0,165.0,43.0,-1.0,-1.0,50
0:1f:90:d7:1c:d0,363198767.554628,38.88085907,-77.11474263,52.0,138.0,42.0,-1.0,-1.0,50
0:c:41:fa:36:3e,363198767.554628,38.88070333,-77.11390554,44.0,115.0,20.0,-1.0,-1.0,50
0:26:62:45:35:88,363198767.554628,38.88079589,-77.11482065,43.0,138.0,41.0,-1.0,-1.0,50
0:1f:90:fc:db:e0,363198767.554628,38.88085776,-77.11404043,54.0,139.0,47.0,-1.0,-1.0,50
0:7f:28:17:58:c8,363198767.554628,38.88075196,-77.11486238,53.0,148.0,55.0,-1.0,-1.0,50
0:26:62:df:e9:95,363198767.554628,38.88088601,-77.11470872,47.0,144.0,48.0,-1.0,-1.0,50
0:14:d1:bd:a7:39,363198767.554628,38.8807947,-77.11482942,61.0,147.0,52.0,-1.0,-1.0,50
0:18:fe:d0:63:b5,363198767.554628,38.88066625,-77.11387813,42.0,124.0,29.0,-1.0,-1.0,50
0:f:66:74:ff:68,363198767.554628,38.8802098,-77.1140601,42.0,115.0,31.0,-1.0,-1.0,50
0:1f:90:d7:3a:60,363198767.554628,38.88086783,-77.11475187,43.0,149.0,46.0,-1.0,-1.0,50
ac:67:6:1c:f1:d8,363198767.554628,38.88090109,-77.11469775,53.0,133.0,31.0,-1.0,-1.0,50
0:18:f8:1a:de:ea,363198767.554628,38.88090348,-77.11469435,42.0,159.0,37.0,-1.0,-1.0,50
68:7f:74:bb:ad:94,363198767.554628,38.88079595,-77.11394858,54.0,136.0,46.0,-1.0,-1.0,50
0:1b:2f:f1:c6:66,363198767.554628,38.88086873,-77.11477148,78.0,157.0,54.0,-1.0,-1.0,50
0:1d:71:22:71:71,363198767.554628,38.88012659,-77.1142261,45.0,104.0,22.0,-1.0,-1.0,50
0:1d:71:22:71:70,363198767.554628,38.88012725,-77.11422067,42.0,104.0,22.0,-1.0,-1.0,50
0:1f:90:da:dd:48,363198767.554628,38.88097989,-77.11430102,51.0,165.0,40.0,-1.0,-1.0,50
0:1f:90:f0:e1:b8,363198767.554628,38.88093662,-77.11413341,42.0,150.0,50.0,-1.0,-1.0,50
c8:3a:35:31:24:51,363198767.554628,38.88080471,-77.11485582,47.0,137.0,43.0,-1.0,-1.0,50
0:1f:90:fe:4b:ac,363198767.554628,38.88070958,-77.11492526,45.0,128.0,40.0,-1.0,-1.0,50
0:23:69:eb:29:64,363198767.554628,38.88072437,-77.11491858,46.0,129.0,42.0,-1.0,-1.0,50
0:1f:33:d0:f2:e8,363198767.554628,38.88093233,-77.11468636,48.0,129.0,46.0,-1.0,-1.0,50
0:1a:70:5c:99:28,363198767.554628,38.88075482,-77.11388748,66.0,128.0,37.0,-1.0,-1.0,50
0:21:29:dd:18:de,363198767.554628,38.88075041,-77.11388272,65.0,125.0,33.0,-1.0,-1.0,50
0:26:62:5d:e4:dc,363198767.554628,38.88084626,-77.11482614,50.0,145.0,42.0,-1.0,-1.0,50
0:26:b8:18:84:a8,363198767.554628,38.88077425,-77.11489462,46.0,130.0,39.0,-1.0,-1.0,50
0:1f:90:e0:7f:2e,363198767.554628,38.8809002,-77.11475479,46.0,131.0,49.0,-1.0,-1.0,50
0:26:62:9c:c:d3,363198767.554628,38.88084173,-77.11395925,48.0,140.0,44.0,-1.0,-1.0,50
0:26:62:44:db:91,363198767.554628,38.88097125,-77.11459326,48.0,127.0,58.0,-1.0,-1.0,50
0:18:1:ff:f3:d0,363198767.554628,38.88089859,-77.11403053,69.0,129.0,40.0,-1.0,-1.0,50
0:1e:e5:42:56:12,363198767.554628,38.88093525,-77.11469817,46.0,155.0,34.0,-1.0,-1.0,50
64:a0:e7:89:65:f1,363198767.554628,38.88042104,-77.11496019,42.0,138.0,5.0,-1.0,-1.0,50
0:1f:90:b6:db:88,363198767.554628,38.88071936,-77.11493849,46.0,134.0,46.0,-1.0,-1.0,50
0:1a:e3:d0:0:70,363198767.554628,38.88012117,-77.11416459,42.0,107.0,29.0,-1.0,-1.0,50
0:18:f8:d9:d5:6c,363198767.554628,38.8808639,-77.11482161,53.0,130.0,48.0,-1.0,-1.0,50
0:14:bf:9b:3b:ce,363198767.554628,38.88093066,-77.11407279,66.0,139.0,37.0,-1.0,-1.0,50
0:24:1:77:65:5,363198767.554628,38.88086295,-77.11482524,44.0,155.0,44.0,-1.0,-1.0,50
0:18:1:ec:86:67,363198767.554628,38.88073354,-77.11493706,42.0,128.0,41.0,-1.0,-1.0,50
64:a0:e7:89:65:f2,363198767.554628,38.88040828,-77.11496371,42.0,138.0,5.0,-1.0,-1.0,50
0:26:b8:49:37:45,363198767.554628,38.8810063,-77.1144635,44.0,157.0,41.0,-1.0,-1.0,50
0:16:1:d6:9a:cb,363198767.554628,38.88091582,-77.11475664,47.0,147.0,43.0,-1.0,-1.0,50
0:25:4b:3:b6:39,363198767.554628,38.88081693,-77.11488157,46.0,142.0,51.0,-1.0,-1.0,50
0:16:b6:bf:3:64,363198767.554628,38.88089424,-77.11479502,56.0,138.0,46.0,-1.0,-1.0,50
0:26:b8:48:c6:11,363198767.554628,38.88094663,-77.11470973,42.0,161.0,42.0,-1.0,-1.0,50
0:26:62:42:2:c7,363198767.554628,38.88093745,-77.11406445,63.0,147.0,49.0,-1.0,-1.0,50
0:26:b8:b3:9f:25,363198767.554628,38.88089311,-77.1148023,49.0,134.0,41.0,-1.0,-1.0,50
0:26:b8:b5:b1:71,363198767.554628,38.88089329,-77.11480379,46.0,147.0,44.0,-1.0,-1.0,50
0:1f:90:e8:ba:1e,363198767.554628,38.88087904,-77.11482578,43.0,155.0,49.0,-1.0,-1.0,50
64:a0:e7:89:64:e2,363198767.554628,38.88024604,-77.11486768,79.0,138.0,5.0,-1.0,-1.0,50
0:15:ff:3:26:82,363198767.554628,38.88082093,-77.11390274,259.0,137.0,11.0,-1.0,-1.0,50
64:a0:e7:91:32:a2,363198767.554628,38.88038903,-77.11497062,42.0,138.0,5.0,-1.0,-1.0,50
0:1f:90:f1:b3:48,363198767.554628,38.88086843,-77.11394894,49.0,137.0,38.0,-1.0,-1.0,50
0:1f:90:c8:dc:18,363198767.554628,38.8809303,-77.11475706,44.0,152.0,47.0,-1.0,-1.0,50
94:44:52:13:50:c9,363198767.554628,38.88092827,-77.11476159,42.0,148.0,42.0,-1.0,-1.0,50
0:18:1:f1:26:ee,363198767.554628,38.88030356,-77.11386758,86.0,122.0,38.0,-1.0,-1.0,50
0:26:b8:2c:17:a7,363198767.554628,38.88087713,-77.11395472,42.0,144.0,42.0,-1.0,-1.0,50
0:1f:90:eb:3a:65,363198767.554628,38.88086843,-77.11484932,54.0,136.0,47.0,-1.0,-1.0,50
0:26:b8:a5:23:88,363198767.554628,38.88078552,-77.11493343,82.0,148.0,51.0,-1.0,-1.0,50
0:26:b8:a3:33:29,363198767.554628,38.88079577,-77.11386525,70.0,130.0,34.0,-1.0,-1.0,50
0:7f:28:22:11:47,363198767.554628,38.88087534,-77.11485975,55.0,137.0,41.0,-1.0,-1.0,50
0:1e:e5:7d:d9:bd,363198767.554628,38.88090938,-77.11481922,46.0,130.0,47.0,-1.0,-1.0,50
e4:7c:f9:d:20:c4,363198767.554628,38.88086587,-77.11487716,48.0,131.0,46.0,-1.0,-1.0,50
0:26:f3:cd:9:f8,363198767.554628,38.88098359,-77.1141023,88.0,137.0,40.0,-1.0,-1.0,50
0:26:b8:28:5:cc,363198767.554628,38.88088947,-77.1139357,42.0,141.0,44.0,-1.0,-1.0,50
1c:af:f7:cc:aa:75,363198767.554628,38.88094347,-77.11478036,63.0,137.0,42.0,-1.0,-1.0,50
0:1f:c6:24:23:7c,363198767.554628,38.88104021,-77.11447876,49.0,165.0,40.0,-1.0,-1.0,50
0:26:f3:cd:9:f9,363198767.554628,38.88093364,-77.11399531,57.0,137.0,35.0,-1.0,-1.0,50
0:22:6b:a7:c4:73,363198767.554628,38.88080376,-77.1149429,69.0,129.0,36.0,-1.0,-1.0,50
0:18:f8:1a:ec:1f,363198767.554628,38.88081681,-77.11493402,42.0,140.0,49.0,-1.0,-1.0,50
0:1e:e5:b1:76:f1,363198767.554628,38.8808459,-77.11490899,46.0,125.0,41.0,-1.0,-1.0,50
0:26:b8:98:69:50,363198767.554628,38.88093686,-77.11399406,44.0,146.0,52.0,-1.0,-1.0,50
